,Round,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Team1,Team2,Result
22,Group stage,2.0,Tue,10/27/2020,21:00 (23:00),Atalanta it,1.7,2–2,1.4,nl Ajax,,Stadio Atleti Azzurri d'Italia,Damir Skomina,Match Report,,2,2,0
23,Group stage,2.0,Tue,10/27/2020,21:00 (23:00),Atlético Madrid es,2.5,3–2,1.1,at RB Salzburg,,Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,,3,2,1
24,Group stage,2.0,Tue,10/27/2020,21:00 (23:00),M'Gladbach de,1.6,2–2,2.6,es Real Madrid,,Stadion im Borussia-Park,Orel Grinfeeld,Match Report,,2,2,0
25,Group stage,2.0,Wed,10/28/2020,20:00 (23:00),Manchester Utd eng,3.2,5–0,0.5,de RB Leipzig,577,Old Trafford,Matej Jug,Match Report,,5,0,1
26,Group stage,2.0,Wed,10/28/2020,20:55,Krasnodar ru,0.6,0–4,2.4,eng Chelsea,"10,544",Krasnodar Stadium,Ali Palabıyık,Match Report,,0,4,2
27,Group stage,2.0,Wed,10/28/2020,20:55,Başakşehir tr,0.9,0–2,2.4,fr Paris S-G,350,Başakşehir Fatih Terim Stadium,Andreas Ekberg,Match Report,,0,2,2
28,Group stage,2.0,Wed,10/28/2020,21:00 (23:00),Dortmund de,1.7,2–0,0.2,ru Zenit,,Signal Iduna Park,Björn Kuipers,Match Report,,2,0,1
29,Group stage,2.0,Wed,10/28/2020,21:00 (23:00),Club Brugge be,2.1,1–1,0.8,it Lazio,,Jan Breydelstadion,Anthony Taylor,Match Report,,1,1,0
30,Group stage,2.0,Wed,10/28/2020,21:00 (23:00),Sevilla es,2.6,1–0,0.1,fr Rennes,,Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,Match Report,,1,0,1
31,Group stage,2.0,Wed,10/28/2020,21:00 (23:00),Ferencváros hu,1.0,2–2,1.6,ua Dynamo Kyiv,"6,171",Groupama Arena,Ivan Kružliak,Match Report,,2,2,0
32,Group stage,2.0,Wed,10/28/2020,21:00 (23:00),Juventus it,0.4,0–2,2.3,es Barcelona,,Allianz Stadium,Danny Makkelie,Match Report,,0,2,2
34,Group stage,3.0,Tue,11/3/2020,19:55 (20:55),Shakhtar ua,0.4,0–6,2.3,de M'Gladbach,,Oblasny SportKomplex Metalist,Serdar Gözübüyük,Match Report,,0,6,2
35,Group stage,3.0,Tue,11/3/2020,20:00 (23:00),Porto pt,2.4,3–0,1.0,fr Marseille,,Estádio Do Dragão,Antonio Matéu Lahoz,Match Report,,3,0,1
36,Group stage,3.0,Tue,11/3/2020,20:00 (23:00),Manchester City eng,1.7,3–0,0.6,gr Olympiacos,,Etihad Stadium,Carlos del Cerro,Match Report,,3,0,1
37,Group stage,3.0,Tue,11/3/2020,20:55,Loko Moscow ru,0.9,1–1,1.0,es Atlético Madrid,"8,147",RZD Arena,Benoît Bastien,Match Report,,1,1,0
38,Group stage,3.0,Tue,11/3/2020,21:00 (23:00),RB Salzburg at,1.8,2–6,2.9,de Bayern Munich,,Red Bull Arena,Danny Makkelie,Match Report,,2,6,2
39,Group stage,3.0,Tue,11/3/2020,21:00 (23:00),Midtjylland dk,0.7,1–2,0.7,nl Ajax,132,MCH Arena,Bobby Madden,Match Report,,1,2,2
40,Group stage,3.0,Tue,11/3/2020,21:00 (23:00),Real Madrid es,1.2,3–2,0.7,it Inter,,Estadio Alfredo Di Stéfano,Clément Turpin,Match Report,,3,2,1
41,Group stage,3.0,Tue,11/3/2020,21:00 (23:00),Atalanta it,1.2,0–5,2.5,eng Liverpool,,Stadio Atleti Azzurri d'Italia,Ovidiu Hațegan,Match Report,,0,5,2
42,Group stage,3.0,Wed,11/4/2020,20:00 (23:00),Chelsea eng,3.3,3–0,0.6,fr Rennes,,Stamford Bridge,Felix Zwayer,Match Report,,3,0,1
43,Group stage,3.0,Wed,11/4/2020,20:55,Başakşehir tr,1.0,2–1,0.7,eng Manchester Utd,350,Başakşehir Fatih Terim Stadium,Davide Massa,Match Report,,2,1,1
44,Group stage,3.0,Wed,11/4/2020,20:55,Zenit ru,1.2,1–1,0.7,it Lazio,"17,427",Gazprom Arena,Artur Soares Dias,Match Report,,1,1,0
45,Group stage,3.0,Wed,11/4/2020,21:00 (23:00),Sevilla es,2.0,3–2,1.4,ru Krasnodar,,Estadio Ramón Sánchez Pizjuán,Felix Brych,Match Report,,3,2,1
46,Group stage,3.0,Wed,11/4/2020,21:00 (23:00),Club Brugge be,1.2,0–3,1.8,de Dortmund,,Jan Breydelstadion,Damir Skomina,Match Report,,0,3,2
47,Group stage,3.0,Wed,11/4/2020,21:00 (23:00),Ferencváros hu,1.5,1–4,2.7,it Juventus,"18,531",Puskás Aréna,Orel Grinfeeld,Match Report,,1,4,2
48,Group stage,3.0,Wed,11/4/2020,21:00 (23:00),Barcelona es,3.5,2–1,2.7,ua Dynamo Kyiv,,Camp Nou,Michael Oliver,Match Report,,2,1,1
49,Group stage,3.0,Wed,11/4/2020,21:00 (23:00),RB Leipzig de,1.9,2–1,1.3,fr Paris S-G,,Red Bull Arena,Szymon Marciniak,Match Report,,2,1,1
51,Group stage,4.0,Tue,11/24/2020,18:55 (20:55),Rennes fr,1.1,1–2,2.2,eng Chelsea,,Roazhon Park,Björn Kuipers,Match Report,,1,2,2
52,Group stage,4.0,Tue,11/24/2020,20:00 (23:00),Manchester Utd eng,2.9,4–1,1.3,tr Başakşehir,545,Old Trafford,Ovidiu Hațegan,Match Report,,4,1,1
53,Group stage,4.0,Tue,11/24/2020,20:55,Krasnodar ru,1.1,1–2,1.6,es Sevilla,"10,554",Krasnodar Stadium,Marco Guida,Match Report,,1,2,2
54,Group stage,4.0,Tue,11/24/2020,21:00 (23:00),Lazio it,3.3,3–1,0.6,ru Zenit,,Stadio Olimpico,Michael Oliver,Match Report,,3,1,1
55,Group stage,4.0,Tue,11/24/2020,21:00 (23:00),Paris S-G fr,1.1,1–0,1.4,de RB Leipzig,,Parc des Princes,Danny Makkelie,Match Report,,1,0,1
56,Group stage,4.0,Tue,11/24/2020,21:00 (23:00),Dortmund de,1.6,3–0,0.1,be Club Brugge,,Signal Iduna Park,Ivan Kružliak,Match Report,,3,0,1
57,Group stage,4.0,Tue,11/24/2020,21:00 (23:00),Juventus it,1.0,2–1,0.4,hu Ferencváros,,Allianz Stadium,Daniel Siebert,Match Report,,2,1,1
58,Group stage,4.0,Tue,11/24/2020,22:00 (23:00),Dynamo Kyiv ua,0.3,0–4,3.0,es Barcelona,,NSK Olimpijs'kyj,Matej Jug,Match Report,,0,4,2
59,Group stage,4.0,Wed,11/25/2020,18:55 (20:55),M'Gladbach de,3.2,4–0,0.7,ua Shakhtar,,Stadion im Borussia-Park,Cüneyt Çakιr,Match Report,,4,0,1
60,Group stage,4.0,Wed,11/25/2020,19:55 (20:55),Olympiacos gr,0.1,0–1,2.4,eng Manchester City,,Stadio Georgios Karaiskáki,Davide Massa,Match Report,,0,1,2
61,Group stage,4.0,Wed,11/25/2020,20:00 (23:00),Liverpool eng,0.2,0–2,1.2,it Atalanta,,Anfield,Carlos del Cerro,Match Report,,0,2,2
62,Group stage,4.0,Wed,11/25/2020,21:00 (23:00),Marseille fr,1.3,0–2,2.1,pt Porto,,Orange Vélodrome,Andreas Ekberg,Match Report,,0,2,2
63,Group stage,4.0,Wed,11/25/2020,21:00 (23:00),Inter it,0.2,0–2,2.0,es Real Madrid,,Stadio Giuseppe Meazza,Anthony Taylor,Match Report,,0,2,2
64,Group stage,4.0,Wed,11/25/2020,21:00 (23:00),Ajax nl,2.4,3–1,1.4,dk Midtjylland,,Johan Cruyff ArenA,Sergey Karasev,Match Report,,3,1,1
65,Group stage,4.0,Wed,11/25/2020,21:00 (23:00),Atlético Madrid es,1.6,0–0,0.2,ru Loko Moscow,,Estadio Wanda Metropolitano,Slavko Vinčič,Match Report,,0,0,0
66,Group stage,4.0,Wed,11/25/2020,21:00 (23:00),Bayern Munich de,1.3,3–1,3.3,at RB Salzburg,,Allianz Arena,Orel Grinfeeld,Match Report,,3,1,1
68,Group stage,5.0,Tue,12/1/2020,19:55 (20:55),Shakhtar ua,1.3,2–0,1.4,es Real Madrid,,Oblasny SportKomplex Metalist,Ovidiu Hațegan,Match Report,,2,0,1
69,Group stage,5.0,Tue,12/1/2020,20:00 (23:00),Liverpool eng,2.0,1–0,1.5,nl Ajax,,Anfield,Tobias Stieler,Match Report,,1,0,1
70,Group stage,5.0,Tue,12/1/2020,20:00 (23:00),Porto pt,0.1,0–0,2.5,eng Manchester City,,Estádio Do Dragão,Björn Kuipers,Match Report,,0,0,0
71,Group stage,5.0,Tue,12/1/2020,20:55,Loko Moscow ru,1.1,1–3,2.4,at RB Salzburg,"6,759",RZD Arena,Ali Palabıyık,Match Report,,1,3,2
72,Group stage,5.0,Tue,12/1/2020,21:00 (23:00),Marseille fr,2.0,2–1,0.3,gr Olympiacos,,Orange Vélodrome,Jesús Gil,Match Report,,2,1,1
73,Group stage,5.0,Tue,12/1/2020,21:00 (23:00),Atalanta it,2.4,1–1,0.7,dk Midtjylland,,Stadio Atleti Azzurri d'Italia,Anastasios Sidiropoulos,Match Report,,1,1,0
74,Group stage,5.0,Tue,12/1/2020,21:00 (23:00),M'Gladbach de,1.3,2–3,1.6,it Inter,,Stadion im Borussia-Park,Danny Makkelie,Match Report,,2,3,2
75,Group stage,5.0,Tue,12/1/2020,21:00 (23:00),Atlético Madrid es,1.6,1–1,1.1,de Bayern Munich,,Estadio Wanda Metropolitano,Clément Turpin,Match Report,,1,1,0
76,Group stage,5.0,Wed,12/2/2020,20:00 (23:00),Manchester Utd eng,1.2,1–3,2.8,fr Paris S-G,,Old Trafford,Daniele Orsato,Match Report,,1,3,2
77,Group stage,5.0,Wed,12/2/2020,20:55,Krasnodar ru,1.5,1–0,0.7,fr Rennes,"8,747",Krasnodar Stadium,William Collum,Match Report,,1,0,1
78,Group stage,5.0,Wed,12/2/2020,20:55,Başakşehir tr,0.6,3–4,2.1,de RB Leipzig,,Başakşehir Fatih Terim Stadium,Carlos del Cerro,Match Report,,3,4,2
79,Group stage,5.0,Wed,12/2/2020,21:00 (23:00),Club Brugge be,2.0,3–0,0.2,ru Zenit,,Jan Breydelstadion,Serdar Gözübüyük,Match Report,,3,0,1
80,Group stage,5.0,Wed,12/2/2020,21:00 (23:00),Juventus it,2.9,3–0,0.6,ua Dynamo Kyiv,,Allianz Stadium,Stéphanie Frappart,Match Report,,3,0,1
81,Group stage,5.0,Wed,12/2/2020,21:00 (23:00),Dortmund de,1.4,1–1,1.9,it Lazio,,Signal Iduna Park,Antonio Matéu Lahoz,Match Report,,1,1,0
82,Group stage,5.0,Wed,12/2/2020,21:00 (23:00),Ferencváros hu,0.8,0–3,4.0,es Barcelona,,Puskás Aréna,Aliaksei Kulbakou,Match Report,,0,3,2
83,Group stage,5.0,Wed,12/2/2020,21:00 (23:00),Sevilla es,1.3,0–4,2.4,eng Chelsea,,Estadio Ramón Sánchez Pizjuán,Artur Soares Dias,Match Report,,0,4,2
85,Group stage,6.0,Tue,12/8/2020,18:55 (20:55),Lazio it,2.7,2–2,1.1,be Club Brugge,,Stadio Olimpico,Cüneyt Çakιr,Match Report,,2,2,0
86,Group stage,6.0,Tue,12/8/2020,20:00 (23:00),Chelsea eng,2.5,1–1,0.4,ru Krasnodar,"2,000",Stamford Bridge,Pavel Královec,Match Report,,1,1,0
87,Group stage,6.0,Tue,12/8/2020,20:55,Zenit ru,1.2,1–2,1.6,de Dortmund,"10,860",Gazprom Arena,István Kovács,Match Report,,1,2,2
88,Group stage,6.0,Tue,12/8/2020,21:00 (23:00),Barcelona es,0.9,0–3,2.9,it Juventus,,Camp Nou,Tobias Stieler,Match Report,,0,3,2
89,Group stage,6.0,Tue,12/8/2020,21:00 (23:00),Rennes fr,2.4,1–3,1.5,es Sevilla,,Roazhon Park,Bartosz Frankowski,Match Report,,1,3,2
90,Group stage,6.0,Tue,12/8/2020,21:00 (23:00),RB Leipzig de,1.5,3–2,2.0,eng Manchester Utd,,Red Bull Arena,Antonio Matéu Lahoz,Match Report,,3,2,1
91,Group stage,6.0,Tue,12/8/2020,22:00 (23:00),Dynamo Kyiv ua,0.5,1–0,0.7,hu Ferencváros,,NSK Olimpijs'kyj,Andreas Ekberg,Match Report,,1,0,1
92,Group stage,6.0,Wed,12/9/2020,18:55 (20:55),Ajax nl,0.7,0–1,1.2,it Atalanta,,Johan Cruyff ArenA,Carlos del Cerro,Match Report,,0,1,2
93,Group stage,6.0,Wed,12/9/2020,18:55 (20:55),Paris S-G fr,3.1,5–1,0.8,tr Başakşehir,,Parc des Princes,Danny Makkelie,Match Report,,5,1,1
94,Group stage,6.0,Wed,12/9/2020,18:55 (20:55),Midtjylland dk,2.3,1–1,1.1,eng Liverpool,,MCH Arena,François Letexier,Match Report,,1,1,0
95,Group stage,6.0,Wed,12/9/2020,20:00 (23:00),Manchester City eng,2.4,3–0,0.5,fr Marseille,,Etihad Stadium,Halil Umut Meler,Match Report,,3,0,1
96,Group stage,6.0,Wed,12/9/2020,21:00 (23:00),Real Madrid es,2.8,2–0,1.0,de M'Gladbach,,Estadio Alfredo Di Stéfano,Björn Kuipers,Match Report,,2,0,1
97,Group stage,6.0,Wed,12/9/2020,21:00 (23:00),Bayern Munich de,1.7,2–0,0.4,ru Loko Moscow,,Allianz Arena,Sandro Schärer,Match Report,,2,0,1
98,Group stage,6.0,Wed,12/9/2020,21:00 (23:00),RB Salzburg at,1.4,0–2,0.6,es Atlético Madrid,,Red Bull Arena,Anthony Taylor,Match Report,,0,2,2
99,Group stage,6.0,Wed,12/9/2020,21:00 (23:00),Inter it,1.3,0–0,0.4,ua Shakhtar,,Stadio Giuseppe Meazza,Slavko Vinčič,Match Report,,0,0,0
100,Group stage,6.0,Wed,12/9/2020,22:00 (23:00),Olympiacos gr,1.0,0–2,1.0,pt Porto,,Stadio Georgios Karaiskáki,Felix Brych,Match Report,,0,2,2
102,Round of 16,,Tue,2/16/2021,21:00 (23:00),Barcelona es,1.6,1–4,2.8,fr Paris S-G,,Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2,1,4,2
103,Round of 16,,Tue,2/16/2021,21:00 (23:00),RB Leipzig de,1.3,0–2,1.4,eng Liverpool,,Puskás Aréna,Slavko Vinčič,Match Report,Leg 1 of 2,0,2,2
104,Round of 16,,Wed,2/17/2021,20:00 (23:00),Porto pt,1.3,2–1,0.9,it Juventus,,Estádio Do Dragão,Carlos del Cerro,Match Report,Leg 1 of 2,2,1,1
105,Round of 16,,Wed,2/17/2021,21:00 (23:00),Sevilla es,0.9,2–3,1.2,de Dortmund,,Estadio Ramón Sánchez Pizjuán,Danny Makkelie,Match Report,Leg 1 of 2,2,3,2
106,Round of 16,,Tue,2/23/2021,21:00 (23:00),Lazio it,0.9,1–4,1.9,de Bayern Munich,,Stadio Olimpico,Orel Grinfeeld,Match Report,Leg 1 of 2,1,4,2
107,Round of 16,,Tue,2/23/2021,21:00 (23:00),Atlético Madrid es,0.8,0–1,1.0,eng Chelsea,,Arena Naţională,Felix Brych,Match Report,Leg 1 of 2,0,1,2
108,Round of 16,,Wed,2/24/2021,21:00 (23:00),M'Gladbach de,0.4,0–2,1.6,eng Manchester City,,Puskás Aréna,Artur Soares Dias,Match Report,Leg 1 of 2,0,2,2
109,Round of 16,,Wed,2/24/2021,21:00 (23:00),Atalanta it,0.1,0–1,1.5,es Real Madrid,,Stadio Atleti Azzurri d'Italia,Tobias Stieler,Match Report,Leg 1 of 2,0,1,2
110,Round of 16,,Tue,3/9/2021,21:00 (23:00),Juventus it,3.0,3–2,2.2,pt Porto,,Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Porto won; Required Extra Time,3,2,1
111,Round of 16,,Tue,3/9/2021,21:00 (23:00),Dortmund de,2.2,2–2,2.0,es Sevilla,,Fußballpark BVB Hohenbuschei,Cüneyt Çakιr,Match Report,Leg 2 of 2; Dortmund won,2,2,0
112,Round of 16,,Wed,3/10/2021,20:00 (23:00),Liverpool eng,2.4,2–0,0.9,de RB Leipzig,,Puskás Aréna,Clément Turpin,Match Report,Leg 2 of 2; Liverpool won,2,0,1
113,Round of 16,,Wed,3/10/2021,21:00 (23:00),Paris S-G fr,1.7,1–1,2.2,es Barcelona,,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won,1,1,0
114,Round of 16,,Tue,3/16/2021,20:00 (23:00),Manchester City eng,1.4,2–0,0.3,de M'Gladbach,,Etihad Stadium,Sergey Karasev,Match Report,Leg 2 of 2; Manchester City won,2,0,1
115,Round of 16,,Tue,3/16/2021,21:00 (23:00),Real Madrid es,2.7,3–1,1.3,it Atalanta,,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won,3,1,1
116,Round of 16,,Wed,3/17/2021,20:00 (23:00),Chelsea eng,2.0,2–0,0.5,es Atlético Madrid,,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won,2,0,1
117,Round of 16,,Wed,3/17/2021,21:00 (23:00),Bayern Munich de,1.9,2–1,1.1,it Lazio,,Allianz Arena,István Kovács,Match Report,Leg 2 of 2; Bayern Munich won,2,1,1
118,Quarter-finals,,Tue,4/6/2021,20:00 (22:00),Manchester City eng,2.1,2–1,1.1,de Dortmund,,Etihad Stadium,Ovidiu Hațegan,Match Report,Leg 1 of 2,2,1,1
119,Quarter-finals,,Tue,4/6/2021,21:00 (22:00),Real Madrid es,2.1,3–1,0.7,eng Liverpool,,Estadio Alfredo Di Stéfano,Felix Brych,Match Report,Leg 1 of 2,3,1,1
120,Quarter-finals,,Wed,4/7/2021,20:00 (22:00),Porto pt,1.4,0–2,1.6,eng Chelsea,,Estadio Ramón Sánchez Pizjuán,Slavko Vinčič,Match Report,Leg 1 of 2,0,2,2
121,Quarter-finals,,Wed,4/7/2021,21:00 (22:00),Bayern Munich de,3.7,2–3,1.3,fr Paris S-G,,Allianz Arena,Antonio Matéu Lahoz,Match Report,Leg 1 of 2,2,3,2
122,Quarter-finals,,Tue,4/13/2021,20:00 (22:00),Chelsea eng,1.2,0–1,0.4,pt Porto,,Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 2 of 2; Chelsea won,0,1,2
123,Quarter-finals,,Tue,4/13/2021,21:00 (22:00),Paris S-G fr,1.6,0–1,1.5,de Bayern Munich,,Parc des Princes,Daniele Orsato,Match Report,Leg 2 of 2; Paris S-G won,0,1,2
124,Quarter-finals,,Wed,4/14/2021,20:00 (22:00),Liverpool eng,1.2,0–0,0.8,es Real Madrid,,Anfield,Björn Kuipers,Match Report,Leg 2 of 2; Real Madrid won,0,0,0
125,Quarter-finals,,Wed,4/14/2021,21:00 (22:00),Dortmund de,0.5,1–2,2.5,eng Manchester City,,Signal Iduna Park,Carlos del Cerro,Match Report,Leg 2 of 2; Manchester City won,1,2,2
126,Semi-finals,,Tue,4/27/2021,21:00 (22:00),Real Madrid es,0.7,1–1,1.7,eng Chelsea,,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 1 of 2,1,1,0
127,Semi-finals,,Wed,4/28/2021,21:00 (22:00),Paris S-G fr,1.0,1–2,0.8,eng Manchester City,,Parc des Princes,Felix Brych,Match Report,Leg 1 of 2,1,2,2
128,Semi-finals,,Tue,5/4/2021,20:00 (22:00),Manchester City eng,1.4,2–0,0.8,fr Paris S-G,,Etihad Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Manchester City won,2,0,1
129,Semi-finals,,Wed,5/5/2021,20:00 (22:00),Chelsea eng,4.0,2–0,0.5,es Real Madrid,,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won,2,0,1
130,Final,,Sat,5/29/2021,22:00,Manchester City eng,0.5,0–1,1.4,eng Chelsea,"14,110",Estádio Do Dragão,Antonio Matéu Lahoz,Match Report,,0,1,2
0,Group stage,1.0,Tue,9/14/2021,18:45 (19:45),Sevilla es,1.5,1–1,2.9,at RB Salzburg,"18,373",Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakou,Match Report,,1,1,0
1,Group stage,1.0,Tue,9/14/2021,18:45 (19:45),Young Boys ch,1.4,2–1,0.5,eng Manchester Utd,"31,120",Wankdorfstadion,François Letexier,Match Report,,2,1,1
2,Group stage,1.0,Tue,9/14/2021,20:00 (22:00),Chelsea eng,0.7,1–0,0.9,ru Zenit,"39,252",Stamford Bridge,Bartosz Frankowski,Match Report,,1,0,1
3,Group stage,1.0,Tue,9/14/2021,21:00 (22:00),Villarreal es,2.3,2–2,1.3,it Atalanta,"12,916",Estadio de la Cerámica,Clément Turpin,Match Report,,2,2,0
4,Group stage,1.0,Tue,9/14/2021,21:00 (22:00),Barcelona es,0.2,0–3,2.7,de Bayern Munich,"39,737",Camp Nou,Michael Oliver,Match Report,,0,3,2
5,Group stage,1.0,Tue,9/14/2021,21:00 (22:00),Lille fr,1.6,0–0,0.1,de Wolfsburg,"34,314",Stade Pierre-Mauroy,Danny Makkelie,Match Report,,0,0,0
6,Group stage,1.0,Tue,9/14/2021,21:00 (22:00),Malmö se,0.4,0–3,3.5,it Juventus,"5,832",Eleda Stadion,Artur Dias,Match Report,,0,3,2
7,Group stage,1.0,Tue,9/14/2021,22:00,Dynamo Kyiv ua,0.6,0–0,1.0,pt Benfica,"21,657",NSK Olimpijs'kyj,Anthony Taylor,Match Report,,0,0,0
8,Group stage,1.0,Wed,9/15/2021,19:45,Sheriff Tiraspol md,1.0,2–0,0.8,ua Shakhtar,"5,205",Bolshaya Sportivnaya Arena,Deniz Aytekin,Match Report,,2,0,1
9,Group stage,1.0,Wed,9/15/2021,19:45,Beşiktaş tr,1.2,1–2,3.0,de Dortmund,"22,445",Vodafone Arena,Antonio Matéu Lahoz,Match Report,,1,2,2
10,Group stage,1.0,Wed,9/15/2021,20:00 (22:00),Sporting CP pt,0.7,1–5,3.1,nl Ajax,"20,382",Estádio José Alvalade,José Sánchez,Match Report,,1,5,2
11,Group stage,1.0,Wed,9/15/2021,20:00 (22:00),Manchester City eng,2.3,6–3,1.3,de RB Leipzig,"38,062",Etihad Stadium,Serdar Gözübüyük,Match Report,,6,3,1
12,Group stage,1.0,Wed,9/15/2021,20:00 (22:00),Liverpool eng,2.5,3–2,1.6,it Milan,"51,445",Anfield,Szymon Marciniak,Match Report,,3,2,1
13,Group stage,1.0,Wed,9/15/2021,21:00 (22:00),Inter it,2.4,0–1,1.2,es Real Madrid,"37,082",Stadio Giuseppe Meazza,Daniel Siebert,Match Report,,0,1,2
14,Group stage,1.0,Wed,9/15/2021,21:00 (22:00),Club Brugge be,1.3,1–1,1.4,fr Paris S-G,"27,546",Jan Breydelstadion,Sandro Schärer,Match Report,,1,1,0
15,Group stage,1.0,Wed,9/15/2021,21:00 (22:00),Atlético Madrid es,0.3,0–0,1.6,pt Porto,"40,098",Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,,0,0,0
17,Group stage,2.0,Tue,9/28/2021,18:45 (19:45),Ajax nl,3.5,2–0,0.9,tr Beşiktaş,"52,628",Johan Cruyff ArenA,Benoît Bastien,Match Report,,2,0,1
18,Group stage,2.0,Tue,9/28/2021,19:45,Shakhtar ua,1.3,0–0,1.0,it Inter,"26,170",NSK Olimpijs'kyj,István Kovács,Match Report,,0,0,0
19,Group stage,2.0,Tue,9/28/2021,20:00 (22:00),Porto pt,0.9,1–5,3.4,eng Liverpool,"23,520",Estádio Do Dragão,Sergey Karasev,Match Report,,1,5,2
20,Group stage,2.0,Tue,9/28/2021,21:00 (22:00),Real Madrid es,3.1,1–2,0.4,md Sheriff Tiraspol,"24,522",Estadio Santiago Bernabéu,Lawrence Visser,Match Report,,1,2,2
21,Group stage,2.0,Tue,9/28/2021,21:00 (22:00),RB Leipzig de,1.3,1–2,1.4,be Club Brugge,"23,500",Red Bull Arena,Slavko Vinčič,Match Report,,1,2,2
22,Group stage,2.0,Tue,9/28/2021,21:00 (22:00),Dortmund de,0.3,1–0,0.4,pt Sporting CP,"25,000",Signal Iduna Park,Srdjan Stojanovic,Match Report,,1,0,1
23,Group stage,2.0,Tue,9/28/2021,21:00 (22:00),Paris S-G fr,0.4,2–0,1.9,eng Manchester City,"37,350",Parc des Princes,Carlos del Cerro,Match Report,,2,0,1
24,Group stage,2.0,Tue,9/28/2021,21:00 (22:00),Milan it,0.7,1–2,2.1,es Atlético Madrid,"35,374",Stadio Giuseppe Meazza,Cüneyt Çakιr,Match Report,,1,2,2
25,Group stage,2.0,Wed,9/29/2021,18:45 (19:45),Atalanta it,2.5,1–0,0.1,ch Young Boys,"8,536",Stadio Atleti Azzurri d'Italia,Felix Brych,Match Report,,1,0,1
26,Group stage,2.0,Wed,9/29/2021,19:45,Zenit ru,2.5,4–0,0.5,se Malmö,"15,339",Gazprom Arena,Anastasios Sidiropoulos,Match Report,,4,0,1
27,Group stage,2.0,Wed,9/29/2021,20:00 (22:00),Manchester Utd eng,1.1,2–1,2.3,es Villarreal,"73,130",Old Trafford,Felix Zwayer,Match Report,,2,1,1
28,Group stage,2.0,Wed,9/29/2021,20:00 (22:00),Benfica pt,1.9,3–0,1.2,es Barcelona,"29,454",Estádio do Sport Lisboa e Benfica,Daniele Orsato,Match Report,,3,0,1
29,Group stage,2.0,Wed,9/29/2021,21:00 (22:00),RB Salzburg at,2.1,2–1,0.5,fr Lille,"24,207",Red Bull Arena,Halil Umut Meler,Match Report,,2,1,1
30,Group stage,2.0,Wed,9/29/2021,21:00 (22:00),Juventus it,0.9,1–0,1.3,eng Chelsea,"19,934",Allianz Stadium,Jesús Gil,Match Report,,1,0,1
31,Group stage,2.0,Wed,9/29/2021,21:00 (22:00),Bayern Munich de,2.7,5–0,0.3,ua Dynamo Kyiv,"25,000",Allianz Arena,Marco Guida,Match Report,,5,0,1
32,Group stage,2.0,Wed,9/29/2021,21:00 (22:00),Wolfsburg de,1.2,1–1,1.1,es Sevilla,"11,733",Volkswagen Arena,Georgi Kabakov,Match Report,,1,1,0
34,Group stage,3.0,Tue,10/19/2021,18:45 (19:45),Club Brugge be,0.6,1–5,4.7,eng Manchester City,"24,915",Jan Breydelstadion,István Kovács,Match Report,,1,5,2
35,Group stage,3.0,Tue,10/19/2021,19:45,Beşiktaş tr,0.9,1–4,4.4,pt Sporting CP,"22,936",Vodafone Arena,Slavko Vinčič,Match Report,,1,4,2
36,Group stage,3.0,Tue,10/19/2021,20:00 (22:00),Porto pt,1.1,1–0,0.2,it Milan,"32,130",Estádio Do Dragão,Felix Brych,Match Report,,1,0,1
37,Group stage,3.0,Tue,10/19/2021,21:00 (22:00),Atlético Madrid es,2.2,2–3,1.3,eng Liverpool,"60,725",Estadio Wanda Metropolitano,Daniel Siebert,Match Report,,2,3,2
38,Group stage,3.0,Tue,10/19/2021,21:00 (22:00),Inter it,2.3,3–1,0.4,md Sheriff Tiraspol,"43,305",Stadio Giuseppe Meazza,Danny Makkelie,Match Report,,3,1,1
39,Group stage,3.0,Tue,10/19/2021,21:00 (22:00),Paris S-G fr,3.0,3–2,2.1,de RB Leipzig,"47,359",Parc des Princes,Marco Guida,Match Report,,3,2,1
40,Group stage,3.0,Tue,10/19/2021,21:00 (22:00),Ajax nl,2.1,4–0,1.2,de Dortmund,"54,029",Johan Cruyff ArenA,Jesús Gil,Match Report,,4,0,1
41,Group stage,3.0,Tue,10/19/2021,22:00,Shakhtar ua,0.7,0–5,2.6,es Real Madrid,"34,037",Oblasny SportKomplex Metalist,Srđan Jovanović,Match Report,,0,5,2
